policy_id,age,gender,territory,vehicle_type,annual_miles,driving_experience_years,exposure,claim_count,total_claim_amount
P0000119,33,F,B,sedan,13080,17.3,0.7503,0,0.0
P0000120,25,F,B,sedan,8948,7.8,0.7129,0,0.0
P0000121,45,M,A,sedan,33552,28.4,0.7149,0,0.0
P0000122,60,F,B,truck,26646,43.1,0.5211,0,0.0
P0000123,59,F,A,truck,26053,39.6,0.8758,0,0.0
P0000124,47,M,C,truck,14847,27.9,0.6762,0,0.0
P0000125,71,M,B,truck,25474,53.3,0.7383,1,2845.72
P0000126,53,F,B,sedan,9191,37.8,0.9238,0,0.0
P0000127,22,F,C,sedan,8660,6.1,0.7886,0,0.0
P0000128,66,F,A,sedan,34594,47.5,0.9257,0,0.0
P0000129,54,M,A,suv,12089,34.4,0.5685,0,0.0
P0000130,57,M,B,suv,28858,42.5,0.6409,0,0.0
P0000131,53,F,C,sedan,13623,32.9,0.614,0,0.0
P0000132,52,F,A,truck,25222,36.6,0.9432,0,0.0
P0000133,23,F,C,sedan,23973,4.7,0.8908,0,0.0
P0000134,53,F,B,suv,27412,30.4,0.9171,0,0.0
P0000135,68,M,B,truck,34565,54.2,0.7843,1,8449.4
P0000136,37,F,B,suv,18190,19.0,0.6104,0,0.0
P0000137,55,F,A,suv,31843,38.6,0.6885,0,0.0
P0000138,19,F,A,suv,14248,1.1,0.7752,2,1193.9
P0000139,39,F,C,suv,34875,23.2,0.5095,0,0.0
P0000140,45,M,B,truck,20499,33.0,0.8198,0,0.0
P0000141,79,M,B,sedan,31167,63.5,0.9274,0,0.0
P0000142,31,M,C,sedan,30582,13.3,0.6628,0,0.0
P0000143,35,F,A,truck,24672,15.3,0.8399,0,0.0
P0000144,43,M,B,suv,34877,25.2,0.7418,0,0.0
P0000145,80,F,A,suv,25934,60.1,0.502,0,0.0
P0000146,71,M,A,sedan,23763,55.0,0.642,0,0.0
P0000147,20,M,C,sedan,12847,4.1,0.7639,0,0.0
P0000148,32,F,C,sedan,16667,14.3,0.8625,0,0.0
P0000149,69,M,A,truck,5190,52.8,0.701,0,0.0
P0000150,21,F,C,sedan,27264,1.8,0.5931,1,649.66
P0000151,71,M,A,sedan,23811,56.8,0.5305,0,0.0
P0000152,35,F,C,sedan,26609,16.3,0.8573,0,0.0
P0000153,75,F,C,sedan,24489,55.6,0.6825,0,0.0
P0000154,36,F,A,sedan,12671,18.3,0.8236,0,0.0
P0000155,45,F,B,suv,35998,26.2,0.6109,0,0.0
P0000156,59,F,C,sedan,18500,43.3,0.8773,0,0.0
P0000157,25,F,A,sedan,26684,9.7,0.6722,0,0.0
P0000158,53,M,A,sedan,9154,35.3,0.5262,0,0.0
P0000159,49,F,B,sedan,23500,33.4,0.7551,0,0.0
P0000160,67,F,A,truck,17470,49.4,0.8657,0,0.0
P0000161,80,M,A,truck,33759,62.4,0.9662,0,0.0
P0000162,59,M,A,suv,28645,42.1,0.9854,0,0.0
P0000163,43,F,B,truck,33973,25.4,0.7282,0,0.0
P0000164,43,F,A,sedan,14730,24.7,0.8059,0,0.0
P0000165,44,M,B,truck,25462,27.2,0.7786,0,0.0
P0000166,69,M,A,sedan,24624,53.0,0.7668,0,0.0
P0000167,38,F,A,suv,12782,19.4,0.5573,1,3386.37
P0000168,28,M,B,suv,15157,10.5,0.8354,0,0.0
P0000169,39,F,A,sedan,25921,21.1,0.9826,0,0.0
P0000170,19,F,B,sedan,9560,0.8,0.5634,0,0.0
P0000171,24,M,B,sedan,17400,6.7,0.6559,0,0.0
P0000172,23,M,B,sedan,27983,6.7,0.5385,0,0.0
P0000173,66,M,A,sedan,31076,50.2,0.7014,0,0.0
P0000174,63,F,C,truck,23268,46.2,0.7408,0,0.0
P0000175,61,F,A,sedan,25751,43.0,0.679,0,0.0
P0000176,47,F,C,suv,30589,28.9,0.7383,0,0.0
P0000177,63,F,A,suv,12165,45.7,0.9015,0,0.0
P0000178,28,F,A,sedan,26047,10.3,0.607,0,0.0
P0000179,74,F,B,sedan,27809,59.2,0.879,1,2375.24
P0000180,49,M,A,sedan,30332,32.9,0.8966,0,0.0
P0000181,77,M,B,sedan,23854,58.7,0.7906,0,0.0
P0000182,27,F,C,sedan,9803,11.7,0.6577,1,2908.37
P0000183,49,F,C,sedan,6565,31.7,0.9683,0,0.0
P0000184,61,M,B,sedan,24052,43.9,0.682,0,0.0
P0000185,49,F,C,truck,13582,32.2,0.525,0,0.0
P0000186,46,M,B,truck,16388,27.6,0.568,0,0.0
P0000187,28,F,A,sedan,19318,10.5,0.9458,0,0.0
P0000188,42,M,C,suv,28141,27.4,0.575,0,0.0
P0000189,33,M,A,truck,15984,15.0,0.7237,0,0.0
P0000190,36,M,A,sedan,22982,20.0,0.846,0,0.0
P0000191,61,M,A,sedan,20434,46.7,0.7868,1,4906.16
P0000192,57,M,A,sedan,6679,38.5,0.8267,0,0.0
P0000193,56,F,A,sedan,26433,41.4,0.6744,0,0.0
P0000194,40,M,A,truck,21539,23.7,0.8311,0,0.0
P0000195,78,M,B,truck,11842,60.4,0.5045,0,0.0
P0000196,23,M,C,suv,28073,6.1,0.6316,0,0.0
P0000197,39,F,C,sedan,8090,23.2,0.5618,0,0.0
P0000198,25,F,A,truck,13146,10.0,0.7276,0,0.0
P0000199,39,M,A,sedan,12409,23.5,0.5729,0,0.0
P0000200,78,M,B,sedan,25290,63.2,0.7737,1,3056.94
P0000201,41,F,A,sedan,35689,24.3,0.5903,0,0.0
P0000202,75,F,A,truck,31068,59.1,0.7071,1,1684.09
P0000203,49,F,B,suv,9289,34.8,0.5371,0,0.0
P0000204,62,F,C,suv,7020,45.6,0.72,0,0.0
P0000205,46,F,A,suv,29460,30.3,0.904,0,0.0
P0000206,34,F,B,sedan,22918,16.5,0.6585,1,908.68
P0000207,66,F,B,sedan,16119,48.3,0.8532,0,0.0
P0000208,79,M,C,truck,32515,59.3,0.713,0,0.0
P0000209,34,F,A,truck,10529,15.7,0.6171,0,0.0
P0000210,67,F,C,suv,8919,52.2,0.6517,0,0.0
P0000211,34,F,C,sedan,20492,21.3,0.6513,0,0.0
P0000212,63,F,A,truck,13346,49.0,0.8712,0,0.0
P0000213,67,M,B,sedan,12200,51.0,0.6005,0,0.0
P0000214,46,M,B,sedan,24403,32.2,0.9889,0,0.0
P0000215,64,F,A,sedan,14448,48.2,0.8437,0,0.0
P0000216,35,F,B,sedan,23140,17.9,0.7006,0,0.0
P0000217,22,F,B,suv,22573,6.1,0.999,0,0.0
P0000218,24,F,C,suv,29595,6.4,0.6081,1,7922.07
P0000219,46,F,A,sedan,35255,30.2,0.8815,0,0.0
P0000220,74,F,B,sedan,24500,58.5,0.6355,0,0.0
P0000221,26,F,A,suv,13895,5.6,0.7718,0,0.0
P0000222,46,M,B,sedan,22851,29.1,0.5272,0,0.0
P0000223,62,F,B,sedan,19952,44.8,0.9232,1,1544.29
P0000224,30,F,B,sedan,19007,11.3,0.6831,0,0.0
P0000225,63,F,B,truck,15690,44.2,0.7922,1,5465.57
P0000226,37,F,A,truck,7425,20.7,0.9636,1,4179.42
P0000227,68,F,A,sedan,12645,48.9,0.5151,0,0.0
P0000228,54,F,B,suv,23323,37.9,0.984,0,0.0
P0000229,52,F,A,truck,7188,33.0,0.7626,0,0.0
P0000230,29,F,C,sedan,9855,14.5,0.8904,0,0.0
P0000231,47,M,B,truck,22682,30.6,0.7365,0,0.0
P0000232,71,M,C,sedan,35871,53.6,0.908,1,6089.18
P0000233,19,F,A,suv,10174,1.3,0.9403,0,0.0
P0000234,65,F,B,suv,7433,49.7,0.6908,0,0.0
P0000235,49,M,A,sedan,15839,35.3,0.8613,0,0.0
P0000236,63,M,C,suv,7347,45.1,0.9993,0,0.0
P0000237,59,F,B,suv,32780,42.4,0.8786,0,0.0
P0000238,45,F,B,sedan,29407,28.8,0.9784,0,0.0
P0000239,37,F,B,suv,8620,16.7,0.8683,0,0.0
P0000240,57,M,A,truck,8136,40.6,0.6649,0,0.0
P0000241,26,F,B,truck,21769,10.0,0.9136,0,0.0
P0000242,54,F,C,suv,17557,40.6,0.8332,0,0.0
P0000243,23,F,A,sedan,26496,8.2,0.5165,0,0.0
P0000244,58,F,C,sedan,33752,39.2,0.5862,0,0.0
P0000245,57,F,C,sedan,15358,41.5,0.6306,0,0.0
P0000246,23,M,C,truck,29424,4.7,0.8718,1,2180.74
P0000247,65,F,C,suv,15321,50.6,0.8986,1,4524.33
P0000248,44,F,A,truck,12218,28.7,0.9134,2,3517.88
P0000249,67,F,B,sedan,35087,51.8,0.5336,0,0.0
P0000250,20,M,A,truck,12781,2.0,0.5361,0,0.0
P0000251,29,F,C,truck,9441,12.4,0.6497,0,0.0
P0000252,49,F,A,suv,23360,34.2,0.8406,0,0.0
P0000253,29,F,C,truck,23464,10.6,0.9211,0,0.0
P0000254,38,M,A,sedan,20079,20.0,0.9347,0,0.0
P0000255,59,M,A,sedan,7704,41.3,0.6038,0,0.0
P0000256,27,M,A,sedan,8619,9.4,0.8837,1,2381.23
P0000257,60,M,B,sedan,28488,44.7,0.8204,0,0.0
P0000258,24,F,A,sedan,9918,4.5,0.9634,0,0.0
P0000259,29,F,A,suv,13554,12.2,0.8864,0,0.0
P0000260,55,F,A,sedan,29889,37.5,0.7643,0,0.0
P0000261,67,M,A,sedan,15488,49.2,0.8916,0,0.0
P0000262,28,M,C,sedan,15688,12.9,0.6541,0,0.0
P0000263,36,F,B,suv,33404,15.2,0.8931,0,0.0
P0000264,76,M,A,truck,29769,59.1,0.8906,0,0.0
P0000265,80,F,A,sedan,26960,62.9,0.9276,0,0.0
P0000266,54,F,A,suv,10884,37.8,0.6212,0,0.0
P0000267,46,F,A,truck,13820,26.7,0.9245,1,7884.59
P0000268,39,M,A,suv,23582,19.6,0.5845,0,0.0
P0000269,56,M,A,suv,31002,38.7,0.8859,0,0.0
P0000270,55,F,A,suv,20658,40.9,0.965,0,0.0
P0000271,36,M,A,truck,28054,19.3,0.5179,0,0.0
P0000272,19,M,C,sedan,15117,2.1,0.813,0,0.0
P0000273,27,M,A,suv,16330,10.9,0.8298,0,0.0
P0000274,78,M,B,sedan,23865,63.0,0.9076,0,0.0
P0000275,44,F,B,sedan,22572,30.1,0.5514,0,0.0
P0000276,48,M,C,suv,8860,28.1,0.9547,0,0.0
P0000277,47,M,A,truck,17046,28.5,0.9969,0,0.0
P0000278,67,M,C,truck,31550,49.9,0.8361,0,0.0
P0000279,22,F,C,truck,21537,6.3,0.715,0,0.0
P0000280,23,M,C,suv,28044,5.3,0.8175,2,1306.04
P0000281,35,M,C,suv,30622,17.6,0.5274,0,0.0
P0000282,48,F,A,truck,13896,31.8,0.8765,0,0.0
P0000283,60,M,C,sedan,12279,42.2,0.535,0,0.0
P0000284,48,F,C,sedan,22984,30.0,0.6613,0,0.0
P0000285,45,F,A,sedan,19870,26.6,0.5697,0,0.0
P0000286,77,F,A,suv,32967,61.8,0.863,0,0.0
P0000287,28,M,C,suv,10661,10.1,0.7972,1,2473.31
P0000288,54,M,A,truck,18091,34.6,0.8496,0,0.0
P0000289,52,F,C,sedan,6507,34.4,0.5323,0,0.0
P0000290,47,M,B,truck,16263,25.6,0.6852,0,0.0
P0000291,68,F,B,suv,23207,51.4,0.7031,0,0.0
P0000292,34,F,A,truck,29767,20.4,0.8012,0,0.0
P0000293,78,M,B,sedan,31169,62.7,0.5512,0,0.0
P0000294,38,M,B,suv,5036,22.3,0.8236,0,0.0
P0000295,52,M,C,suv,32036,33.9,0.6973,0,0.0
P0000296,50,M,A,suv,26277,31.3,0.953,0,0.0
P0000297,71,M,A,sedan,11248,53.7,0.7249,0,0.0
P0000298,45,F,A,sedan,11689,27.4,0.551,0,0.0
P0000299,35,F,A,sedan,29086,14.2,0.5517,0,0.0
P0000300,19,F,C,sedan,26521,3.7,0.6271,0,0.0
P0000301,40,M,A,suv,11386,23.1,0.6199,0,0.0
P0000302,70,M,A,suv,18574,53.9,0.8983,1,8432.93
P0000303,18,M,C,suv,31614,3.3,0.8612,1,6081.29
P0000304,74,F,A,sedan,5629,61.0,0.5383,0,0.0
P0000305,52,F,A,sedan,20851,32.4,0.9257,0,0.0
P0000306,26,M,B,suv,32102,10.5,0.5481,0,0.0
P0000307,37,M,A,suv,5122,20.5,0.8928,0,0.0
P0000308,52,F,C,suv,21942,34.1,0.5558,0,0.0
P0000309,37,F,B,suv,22317,22.4,0.6882,0,0.0
P0000310,24,F,A,truck,14721,8.7,0.8755,0,0.0
P0000311,59,F,B,truck,21717,42.0,0.6268,0,0.0
P0000312,60,F,C,suv,26804,43.9,0.5567,0,0.0
P0000313,25,F,A,sedan,13794,10.6,0.8936,0,0.0
P0000314,35,M,B,sedan,20374,16.8,0.8455,0,0.0
P0000315,33,F,B,suv,21634,16.9,0.9456,0,0.0
P0000316,59,F,B,sedan,6083,41.7,0.8208,0,0.0
P0000317,64,F,B,sedan,11592,46.9,0.537,0,0.0
P0000318,63,M,A,sedan,25157,44.1,0.8193,0,0.0
P0000319,77,F,B,truck,20159,59.3,0.9113,0,0.0
P0000320,66,F,A,sedan,35055,50.7,0.5418,0,0.0
P0000321,38,F,B,suv,31356,18.7,0.5678,0,0.0
P0000322,24,M,B,truck,11881,7.9,0.8388,0,0.0
P0000323,56,M,A,suv,35913,40.6,0.8957,0,0.0
P0000324,75,F,A,sedan,31750,59.9,0.6766,0,0.0
P0000325,79,F,C,truck,18036,66.7,0.8676,0,0.0
P0000326,32,F,A,suv,24250,16.2,0.5837,0,0.0
P0000327,32,M,A,sedan,13670,14.2,0.722,0,0.0
P0000328,20,M,A,suv,7414,5.7,0.874,1,153.1
P0000329,26,F,B,sedan,12360,5.6,0.5995,0,0.0
P0000330,52,F,A,suv,27629,39.5,0.6744,0,0.0
P0000331,52,M,C,truck,22698,36.6,0.8145,0,0.0
P0000332,41,M,B,suv,18686,27.0,0.673,1,4464.96
P0000333,37,F,A,truck,19907,18.2,0.9371,0,0.0
P0000334,70,F,B,sedan,29605,51.7,0.9784,1,10110.08
P0000335,46,F,A,truck,26576,29.5,0.8211,0,0.0
P0000336,68,M,A,suv,24708,53.8,0.8912,0,0.0
P0000337,78,M,B,sedan,20541,63.4,0.9533,0,0.0
P0000338,37,M,A,truck,5086,19.5,0.8509,0,0.0
P0000339,30,M,C,truck,15343,14.4,0.8867,0,0.0
P0000340,78,F,B,sedan,8915,62.1,0.5401,0,0.0
P0000341,57,F,A,suv,29000,40.1,0.9119,0,0.0
P0000342,36,F,C,sedan,15925,19.8,0.6373,0,0.0
P0000343,57,M,B,sedan,12594,43.5,0.5354,0,0.0
P0000344,50,M,A,sedan,19937,35.7,0.7947,0,0.0
P0000345,75,F,B,sedan,19878,60.6,0.6134,0,0.0
P0000346,34,F,C,sedan,33895,18.5,0.5399,0,0.0
P0000347,80,M,B,sedan,10541,62.8,0.8048,1,733.4
P0000348,76,M,B,truck,30481,58.9,0.5493,0,0.0
P0000349,29,M,B,sedan,11691,9.6,0.9436,0,0.0
P0000350,28,F,A,truck,29850,13.8,0.9846,0,0.0
P0000351,51,M,A,sedan,21686,33.4,0.8691,0,0.0
P0000352,20,M,B,sedan,21726,4.6,0.6438,0,0.0
P0000353,36,M,C,suv,26852,15.0,0.7813,0,0.0
P0000354,45,M,B,sedan,7878,28.2,0.5157,0,0.0
P0000355,79,M,A,sedan,29712,63.1,0.8107,0,0.0
P0000356,80,M,B,truck,28120,62.5,0.6319,2,21707.48
P0000357,27,M,A,sedan,11152,9.6,0.7275,1,1228.76
P0000358,74,F,A,sedan,7682,57.8,0.5894,0,0.0
P0000359,23,F,B,suv,27423,4.8,0.9933,0,0.0
P0000360,65,M,A,sedan,7834,45.0,0.6037,0,0.0
P0000361,71,M,C,suv,22977,52.2,0.7085,2,10237.05
P0000362,74,F,B,sedan,12907,57.3,0.6273,0,0.0
P0000363,32,F,B,sedan,27262,11.4,0.7708,0,0.0
P0000364,74,M,C,sedan,33599,56.0,0.9527,0,0.0
P0000365,25,M,B,sedan,31089,10.2,0.5817,0,0.0
P0000366,50,M,C,suv,28247,32.9,0.5704,0,0.0
P0000367,47,F,C,truck,24921,30.4,0.537,0,0.0
P0000368,37,M,B,suv,7376,21.1,0.7947,0,0.0
P0000369,19,M,A,sedan,34449,1.4,0.801,0,0.0
P0000370,66,F,A,truck,33486,52.8,0.9107,0,0.0
P0000371,39,F,C,suv,6933,18.8,0.918,0,0.0
P0000372,59,M,A,sedan,29284,40.8,0.551,0,0.0
P0000373,43,F,C,sedan,8316,29.7,0.9553,0,0.0
P0000374,41,M,A,sedan,23712,22.8,0.9147,0,0.0
P0000375,73,M,B,sedan,12740,55.1,0.8236,1,5481.49
P0000376,23,M,A,sedan,8935,3.1,0.6735,0,0.0
P0000377,64,F,C,sedan,12141,43.6,0.8728,0,0.0
P0000378,65,M,A,truck,14923,44.2,0.8103,1,7210.14
P0000379,41,F,A,sedan,15826,24.6,0.6765,0,0.0
P0000380,34,M,C,sedan,14321,15.9,0.5066,1,5758.95
P0000381,18,F,A,truck,19350,2.0,0.7962,0,0.0
P0000382,77,M,A,suv,24841,58.0,0.7882,0,0.0
P0000383,77,M,C,sedan,19384,64.3,0.5773,0,0.0
P0000384,33,F,C,sedan,23223,18.6,0.9532,0,0.0
P0000385,20,F,A,suv,16933,3.9,0.5796,0,0.0
P0000386,25,M,B,sedan,13594,8.1,0.6435,0,0.0
P0000387,22,F,A,suv,9589,4.7,0.686,0,0.0
P0000388,70,F,A,truck,14644,50.5,0.8415,0,0.0
P0000389,74,F,B,suv,10958,58.3,0.5408,0,0.0
P0000390,27,M,A,truck,21071,12.6,0.8512,0,0.0
P0000391,65,M,B,suv,25291,48.8,0.7072,0,0.0
P0000392,29,F,A,suv,31207,13.2,0.5915,0,0.0
P0000393,41,M,C,sedan,14138,22.9,0.556,0,0.0
P0000394,55,F,B,sedan,8912,34.9,0.7062,0,0.0
P0000395,63,F,A,sedan,30276,43.1,0.723,0,0.0
P0000396,73,F,C,suv,27497,53.8,0.5687,0,0.0
P0000397,20,F,C,sedan,14814,4.1,0.7412,0,0.0
P0000398,30,F,A,suv,35865,13.3,0.7512,0,0.0
P0000399,35,M,C,sedan,24891,17.2,0.9905,1,1478.65
P0000400,37,F,A,suv,28241,21.5,0.8567,1,663.26
P0000401,80,M,A,sedan,15890,64.4,0.5061,0,0.0
P0000402,66,F,A,truck,18688,48.3,0.7384,0,0.0
P0000403,38,F,A,sedan,15822,23.7,0.5108,0,0.0
P0000404,79,F,B,suv,27681,59.8,0.7556,0,0.0
P0000405,49,M,B,suv,30264,32.8,0.669,0,0.0
P0000406,49,M,C,sedan,31681,30.9,0.9518,0,0.0
P0000407,45,F,A,truck,15301,27.6,0.7466,0,0.0
P0000408,27,F,A,truck,28823,7.5,0.925,1,2611.66
P0000409,76,F,A,suv,26188,63.3,0.7919,0,0.0
P0000410,18,M,A,truck,5395,0.0,0.6983,0,0.0
P0000411,28,F,C,sedan,29645,8.5,0.6149,0,0.0
P0000412,32,M,B,truck,9076,14.4,0.5916,0,0.0
P0000413,35,F,C,truck,8985,17.0,0.8973,1,4970.13
P0000414,26,F,B,suv,8321,7.8,0.9415,0,0.0
P0000415,19,M,A,truck,22022,3.8,0.662,0,0.0
P0000416,60,F,A,suv,5986,42.9,0.7473,0,0.0
P0000417,79,F,B,suv,20641,60.2,0.6438,0,0.0
P0000418,25,M,C,suv,27150,11.6,0.7276,0,0.0
P0000419,36,F,A,sedan,21600,18.1,0.9347,0,0.0
P0000420,49,F,A,suv,13288,31.8,0.569,0,0.0
P0000421,76,F,B,sedan,15353,57.7,0.6457,0,0.0
P0000422,61,F,A,suv,27380,46.5,0.8476,0,0.0
P0000423,66,M,B,suv,15525,50.5,0.6553,0,0.0
P0000424,54,F,A,sedan,25649,39.8,0.5406,0,0.0
P0000425,44,M,B,sedan,26315,29.8,0.6872,0,0.0
P0000426,30,M,A,sedan,21231,11.3,0.8382,0,0.0
P0000427,72,M,C,suv,16531,56.2,0.992,0,0.0
P0000428,68,M,B,sedan,6851,52.3,0.9461,0,0.0
